"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4540","validating menu items","chromium","Sat Nov 22 16:54:21 UTC 2025","passed","Sat Nov 22 16:54:25 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC1 - Register User (Need to implement an delay in some point)","webkit","Thu Nov 27 23:11:16 UTC 2025","skipped","Thu Nov 27 23:11:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","9548","validating logo is visible","chromium","Sat Nov 22 16:54:09 UTC 2025","passed","Sat Nov 22 16:54:18 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","14918","validating carrousel","firefox","Sat Nov 22 16:55:39 UTC 2025","passed","Sat Nov 22 16:55:54 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","2226","Validating Featured Items product information visibility","webkit","Thu Nov 27 23:11:13 UTC 2025","passed","Thu Nov 27 23:11:16 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","1440","Validating Featured Items product information visibility","chromium","Thu Nov 27 23:10:06 UTC 2025","passed","Thu Nov 27 23:10:07 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","1465","Validating home page status code","chromium","Thu Nov 27 23:09:51 UTC 2025","passed","Thu Nov 27 23:09:52 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","1240","Validating Featured Items section title visibility and text","chromium","Thu Nov 27 23:10:00 UTC 2025","passed","Thu Nov 27 23:10:02 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","7334","validating carrousel","chromium","Sat Nov 22 16:54:22 UTC 2025","passed","Sat Nov 22 16:54:30 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","13632","Validating home page load","webkit","Wed Nov 26 01:54:55 UTC 2025","passed","Wed Nov 26 01:55:09 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","11148","validating menu items","firefox","Sat Nov 22 16:55:35 UTC 2025","passed","Sat Nov 22 16:55:46 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","34903","validating Featured Itens overlay and Add to cart button","firefox","Sat Nov 22 16:56:01 UTC 2025","broken","Sat Nov 22 16:56:36 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","10411","validating Featured Items section","firefox","Sat Nov 22 16:55:54 UTC 2025","passed","Sat Nov 22 16:56:04 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","6410","Validating Featured Items product hover behavior","webkit","Thu Nov 27 23:11:07 UTC 2025","passed","Thu Nov 27 23:11:13 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","17026","validating status code 200","chromium","Thu Nov 27 01:38:18 UTC 2025","passed","Thu Nov 27 01:38:35 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","8324","Validating home page status code","webkit","Thu Nov 27 23:10:44 UTC 2025","passed","Thu Nov 27 23:10:53 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","19695","validating Featured Itens overlay and Add to cart button","chromium","Sat Nov 22 16:54:32 UTC 2025","passed","Sat Nov 22 16:54:51 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","29472","validating status code 200","webkit","Thu Nov 27 01:42:27 UTC 2025","passed","Thu Nov 27 01:42:57 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","18684","Validating home page load","firefox","Wed Nov 26 01:52:51 UTC 2025","passed","Wed Nov 26 01:53:09 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","2777","TC7 - Verify Test Cases Page","webkit","Thu Nov 27 23:11:16 UTC 2025","passed","Thu Nov 27 23:11:18 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies that the home page returns a status code of 200, indicating successful loading of the page.","2234","Validating home page status code","firefox","Thu Nov 27 23:10:16 UTC 2025","passed","Thu Nov 27 23:10:18 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","3105","TC8 - Verify All Products and product detail page","webkit","Thu Nov 27 23:11:18 UTC 2025","passed","Thu Nov 27 23:11:21 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","9053","validating logo is visible","webkit","Sat Nov 22 16:57:40 UTC 2025","passed","Sat Nov 22 16:57:49 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC1 - Register User (Need to implement an delay in some point)","chromium","Thu Nov 27 23:10:07 UTC 2025","skipped","Thu Nov 27 23:10:07 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
